2022-05-24:14:26:29,382 DEBUG    [connectionpool.py:1001] Starting new HTTPS connection (1): api.kite.trade:443
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3627.4 : 3627.4 : 3620.25 : 3623.7
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: TCS  : 3280.55 : 3283.0 : 3277.05 : 3282.5
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3282.65 : 3283.0 : 3281.0 : 3282.5
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: ICICIBANK  : 706.65 : 708.25 : 706.05 : 708.2
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.5 : 708.25 : 707.05 : 708.2
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: SBIN  : 460.85 : 462.4 : 460.3 : 462.25
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.4 : 462.4 : 461.1 : 462.25
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: HDFCBANK  : 1316.0 : 1316.9 : 1314.55 : 1316.4
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1315.65 : 1316.9 : 1315.25 : 1316.4
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: INFY  : 1436.7 : 1440.9 : 1436.45 : 1440.6
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1440.75 : 1440.9 : 1440.05 : 1440.6
2022-05-24:14:40:02,2 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: WIPRO  : 460.05 : 460.25 : 459.2 : 459.65
2022-05-24:14:40:02,2 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.65 : 459.95 : 459.15 : 459.45
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1316.25 : 1316.85 : 1316.0 : 1316.7
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1440.25 : 1440.45 : 1439.25 : 1440.35
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.95 : 362.95 : 362.75 : 362.75
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3282.45 : 3283.3 : 3281.5 : 3283.15
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 708.15 : 708.25 : 707.45 : 708.25
2022-05-24:14:41:01,378 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 462.3 : 462.9 : 462.1 : 462.8
2022-05-24:14:41:02,19 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3623.7 : 3625.05 : 3621.0 : 3622.6
2022-05-24:14:41:02,19 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2605.55 : 2606.0 : 2603.45 : 2604.0
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3624.65 : 3624.9 : 3619.5 : 3622.65
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2604.05 : 2605.0 : 2602.3 : 2604.1
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 708.25 : 708.4 : 707.65 : 707.8
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 462.8 : 462.9 : 462.2 : 462.3
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.35 : 459.55 : 459.2 : 459.5
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1316.6 : 1317.45 : 1316.0 : 1316.35
2022-05-24:14:42:01,331 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1440.4 : 1440.5 : 1440.3 : 1440.45
2022-05-24:14:42:01,961 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3283.2 : 3284.6 : 3283.0 : 3284.4
2022-05-24:14:43:01,365 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3622.65 : 3624.0 : 3620.05 : 3621.5
2022-05-24:14:43:01,365 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2604.2 : 2604.65 : 2602.6 : 2604.0
2022-05-24:14:43:01,365 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3284.4 : 3285.55 : 3281.3 : 3282.75
